"","level","Overall","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Other","White","p","test","Missing"
"status_90days (median [IQR])","","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","1.00 [0.50, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.567","nonnorm","0.0"
"time_90days (median [IQR])","","75.00 [16.00, 90.00]","57.50 [15.00, 90.00]","74.00 [13.25, 90.00]","81.00 [15.00, 90.00]","8.00 [6.50, 49.00]","49.50 [14.00, 90.00]","76.00 [16.00, 90.00]","0.737","nonnorm","0.0"
"Encephalopathy (%)","0","1621 (81.1)","6 (50.0)","29 (85.3)","139 (79.0)","2 (66.7)","82 (82.0)","1363 (81.4)","0.107","","0.0"
"","1","378 (18.9)","6 (50.0)","5 (14.7)","37 (21.0)","1 (33.3)","18 (18.0)","311 (18.6)","","",""
"Alcoholic_hepatitis (%)","0","1935 (96.8)","12 (100.0)","34 (100.0)","170 (96.6)","3 (100.0)","98 (98.0)","1618 (96.7)","0.818","","0.0"
"","1","64 (3.2)","0 (0.0)","0 (0.0)","6 (3.4)","0 (0.0)","2 (2.0)","56 (3.3)","","",""
"HCC (%)","0","1967 (98.4)","12 (100.0)","33 (97.1)","172 (97.7)","3 (100.0)","96 (96.0)","1651 (98.6)","0.178","exact","0.0"
"","1","32 (1.6)","0 (0.0)","1 (2.9)","4 (2.3)","0 (0.0)","4 (4.0)","23 (1.4)","","",""
"New_diagnosis_of_cirrhosis (%)","0","1960 (98.0)","12 (100.0)","32 (94.1)","174 (98.9)","3 (100.0)","96 (96.0)","1643 (98.1)","0.209","exact","0.0"
"","1","39 (2.0)","0 (0.0)","2 (5.9)","2 (1.1)","0 (0.0)","4 (4.0)","31 (1.9)","","",""
"Transplant_evalutation (%)","0","1877 (93.9)","12 (100.0)","32 (94.1)","168 (95.5)","3 (100.0)","79 (79.0)","1583 (94.6)","<0.001","","0.0"
